shop_id,shop_name,address,latitude,longitude,rating,phone,category,opening_hours,is_open
1,Sri Ram Grocery Store,"14 Teppakulam Street, Trichy",10.8050,78.6856,4.6,+91 98765 11111,Grocery,"7:00 AM – 10:00 PM",1
2,Ponni Departmental Mart,"22 Thillai Nagar Main Road, Trichy",10.8180,78.6920,4.2,+91 98001 22222,General Store,"8:00 AM – 9:00 PM",1
3,Fresh Veggie World,"5 Ariyamangalam, Trichy",10.7934,78.7145,4.8,+91 94444 33333,Vegetables & Fruits,"6:00 AM – 8:00 PM",0
4,RR Electronics,"33 Salai Road, Trichy",10.8230,78.6812,3.9,+91 90000 44444,Electronics,"10:00 AM – 8:00 PM",1
5,Rockfort Pharmacy,"7 Big Bazaar Street, Trichy",10.8058,78.6899,4.5,+91 92201 55555,Pharmacy,"24 Hours",1
6,Kaveri Bakery,"12 Pattalam Road, Trichy",10.8102,78.6778,4.7,+91 97777 66666,Bakery,"6:00 AM – 9:00 PM",1
7,Chandra Dairy Farm,"18 Woraiyur, Trichy",10.8371,78.6956,4.3,+91 86001 77777,Dairy,"5:30 AM – 11:00 PM",1
8,Sree Lakshmi Supermart,"45 Srirangam, Trichy",10.8620,78.6932,4.1,+91 91000 88888,General Store,"7:00 AM – 11:00 PM",0
9,Annamalai Hardware,"9 Mannarpuram, Trichy",10.7912,78.7023,3.8,+91 99000 99900,Hardware,"9:00 AM – 7:00 PM",1
10,BlueStar Mobile Shop,"3 Cantonment, Trichy",10.8295,78.6743,4.4,+91 88001 10101,Electronics,"10:00 AM – 9:00 PM",1
