product_id,product_name,shop_id,price,stock,category,image_url
1,Ponni Raw Rice 1 kg,1,65,120,Grocery,https://images.unsplash.com/photo-1586201375761-83865001e31c?w=200&q=80
2,Fresh Milk 1 L (Aavin),1,34,80,Dairy,https://images.unsplash.com/photo-1550583724-b2692b85b150?w=200&q=80
3,Tata Salt 1 kg,1,22,150,Grocery,https://images.unsplash.com/photo-1574447027038-0a64f2e5c7c4?w=200&q=80
4,Whole Wheat Bread,1,45,50,Bakery,https://images.unsplash.com/photo-1549931319-a545dcf3bc7c?w=200&q=80
5,Tomatoes 500g,1,35,90,Vegetables,https://images.unsplash.com/photo-1546094096-0df4bcaaa337?w=200&q=80
6,Coconut Oil 1 L,1,195,40,Grocery,https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=200&q=80
7,Farm Eggs 12 pcs,2,90,60,Dairy,https://images.unsplash.com/photo-1506976785307-8732e854bbe7?w=200&q=80
8,Idli Rice 1 kg,2,60,100,Grocery,https://images.unsplash.com/photo-1586201375761-83865001e31c?w=200&q=80
9,Surf Excel 1 kg,2,115,80,Household,https://images.unsplash.com/photo-1599305445671-ac291c95aaa9?w=200&q=80
10,Colgate Toothpaste,2,95,60,Personal Care,https://images.unsplash.com/photo-1618354691373-d851c5c3a990?w=200&q=80
11,Bournvita 500g,2,280,30,Beverages,https://images.unsplash.com/photo-1544787219-7f47ccb76574?w=200&q=80
12,Apple Shimla 1 kg,3,180,45,Fruits,https://images.unsplash.com/photo-1560806887-1e4cd0b6cbd6?w=200&q=80
13,Banana 1 dozen,3,60,70,Fruits,https://images.unsplash.com/photo-1571771894821-ce9b6c11b08e?w=200&q=80
14,Carrot 500g,3,40,0,Vegetables,https://images.unsplash.com/photo-1447175008436-054170c2e979?w=200&q=80
15,Spinach Bunch,3,25,55,Vegetables,https://images.unsplash.com/photo-1576045057995-568f588f82fb?w=200&q=80
