id,name,description,price,stock,image,category
1,"Laptop 01","Premium Electronics product. Laptop 01 designed for quality and style. This item belongs to our exclusive Electronics collection.",3809,30,https://images.unsplash.com/photo-1526738549149-8e07eca2c1b4?w=400&h=400&fit=crop&q=80,Electronics
2,"Tablet 02","Premium Electronics product. Tablet 02 designed for quality and style. This item belongs to our exclusive Electronics collection.",4062,71,https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?w=400&h=400&fit=crop&q=80,Electronics
3,"Speaker 03","Premium Electronics product. Speaker 03 designed for quality and style. This item belongs to our exclusive Electronics collection.",8717,43,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=400&h=400&fit=crop&q=80,Electronics
4,"Speaker 04","Premium Electronics product. Speaker 04 designed for quality and style. This item belongs to our exclusive Electronics collection.",8345,90,https://images.unsplash.com/photo-1526738549149-8e07eca2c1b4?w=400&h=400&fit=crop&q=80,Electronics
5,"Speaker 05","Premium Electronics product. Speaker 05 designed for quality and style. This item belongs to our exclusive Electronics collection.",3790,46,https://images.unsplash.com/photo-1526738549149-8e07eca2c1b4?w=400&h=400&fit=crop&q=80,Electronics
6,"Tablet 06","Premium Electronics product. Tablet 06 designed for quality and style. This item belongs to our exclusive Electronics collection.",8334,67,https://images.unsplash.com/photo-1525547710557-809291baa59d?w=400&h=400&fit=crop&q=80,Electronics
7,"Tablet 07","Premium Electronics product. Tablet 07 designed for quality and style. This item belongs to our exclusive Electronics collection.",1912,74,https://images.unsplash.com/photo-1588508065123-287b28e013da?w=400&h=400&fit=crop&q=80,Electronics
8,"Laptop 08","Premium Electronics product. Laptop 08 designed for quality and style. This item belongs to our exclusive Electronics collection.",4772,16,https://images.unsplash.com/photo-1491933314544-58b2317f6452?w=400&h=400&fit=crop&q=80,Electronics
9,"Headphones 09","Premium Electronics product. Headphones 09 designed for quality and style. This item belongs to our exclusive Electronics collection.",8500,93,https://images.unsplash.com/photo-1525547710557-809291baa59d?w=400&h=400&fit=crop&q=80,Electronics
10,"Keyboard 10","Premium Electronics product. Keyboard 10 designed for quality and style. This item belongs to our exclusive Electronics collection.",5923,83,https://images.unsplash.com/photo-1526738549149-8e07eca2c1b4?w=400&h=400&fit=crop&q=80,Electronics
11,"Smartphone 11","Premium Electronics product. Smartphone 11 designed for quality and style. This item belongs to our exclusive Electronics collection.",5680,96,https://images.unsplash.com/photo-1525547710557-809291baa59d?w=400&h=400&fit=crop&q=80,Electronics
12,"Laptop 12","Premium Electronics product. Laptop 12 designed for quality and style. This item belongs to our exclusive Electronics collection.",4831,54,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=400&h=400&fit=crop&q=80,Electronics
13,"Smartwatch 13","Premium Electronics product. Smartwatch 13 designed for quality and style. This item belongs to our exclusive Electronics collection.",3793,18,https://images.unsplash.com/photo-1588508065123-287b28e013da?w=400&h=400&fit=crop&q=80,Electronics
14,"Monitor 14","Premium Electronics product. Monitor 14 designed for quality and style. This item belongs to our exclusive Electronics collection.",426,52,https://images.unsplash.com/photo-1588508065123-287b28e013da?w=400&h=400&fit=crop&q=80,Electronics
15,"Keyboard 15","Premium Electronics product. Keyboard 15 designed for quality and style. This item belongs to our exclusive Electronics collection.",8925,41,https://images.unsplash.com/photo-1498062363085-0431f753f0ed?w=400&h=400&fit=crop&q=80,Electronics
16,"Gaming Console 16","Premium Electronics product. Gaming Console 16 designed for quality and style. This item belongs to our exclusive Electronics collection.",9931,82,https://images.unsplash.com/photo-1491933314544-58b2317f6452?w=400&h=400&fit=crop&q=80,Electronics
17,"Keyboard 17","Premium Electronics product. Keyboard 17 designed for quality and style. This item belongs to our exclusive Electronics collection.",6025,63,https://images.unsplash.com/photo-1491933314544-58b2317f6452?w=400&h=400&fit=crop&q=80,Electronics
18,"Smartwatch 18","Premium Electronics product. Smartwatch 18 designed for quality and style. This item belongs to our exclusive Electronics collection.",7485,86,https://images.unsplash.com/photo-1498062363085-0431f753f0ed?w=400&h=400&fit=crop&q=80,Electronics
19,"Headphones 19","Premium Electronics product. Headphones 19 designed for quality and style. This item belongs to our exclusive Electronics collection.",7896,34,https://images.unsplash.com/photo-1588508065123-287b28e013da?w=400&h=400&fit=crop&q=80,Electronics
20,"Laptop 20","Premium Electronics product. Laptop 20 designed for quality and style. This item belongs to our exclusive Electronics collection.",1300,66,https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?w=400&h=400&fit=crop&q=80,Electronics
21,"Camera 21","Premium Electronics product. Camera 21 designed for quality and style. This item belongs to our exclusive Electronics collection.",9338,79,https://images.unsplash.com/photo-1461749280684-dccba630e2f6?w=400&h=400&fit=crop&q=80,Electronics
22,"Headphones 22","Premium Electronics product. Headphones 22 designed for quality and style. This item belongs to our exclusive Electronics collection.",2896,11,https://images.unsplash.com/photo-1526738549149-8e07eca2c1b4?w=400&h=400&fit=crop&q=80,Electronics
23,"Smartphone 23","Premium Electronics product. Smartphone 23 designed for quality and style. This item belongs to our exclusive Electronics collection.",9819,85,https://images.unsplash.com/photo-1525547710557-809291baa59d?w=400&h=400&fit=crop&q=80,Electronics
24,"Headphones 24","Premium Electronics product. Headphones 24 designed for quality and style. This item belongs to our exclusive Electronics collection.",4326,41,https://images.unsplash.com/photo-1550745165-9bc0b252726f?w=400&h=400&fit=crop&q=80,Electronics
25,"Smartwatch 25","Premium Electronics product. Smartwatch 25 designed for quality and style. This item belongs to our exclusive Electronics collection.",6873,25,https://images.unsplash.com/photo-1498062363085-0431f753f0ed?w=400&h=400&fit=crop&q=80,Electronics
26,"Speaker 26","Premium Electronics product. Speaker 26 designed for quality and style. This item belongs to our exclusive Electronics collection.",3016,36,https://images.unsplash.com/photo-1498062363085-0431f753f0ed?w=400&h=400&fit=crop&q=80,Electronics
27,"Camera 27","Premium Electronics product. Camera 27 designed for quality and style. This item belongs to our exclusive Electronics collection.",4589,62,https://images.unsplash.com/photo-1498062363085-0431f753f0ed?w=400&h=400&fit=crop&q=80,Electronics
28,"Monitor 28","Premium Electronics product. Monitor 28 designed for quality and style. This item belongs to our exclusive Electronics collection.",5014,51,https://images.unsplash.com/photo-1550745165-9bc0b252726f?w=400&h=400&fit=crop&q=80,Electronics
29,"Smartphone 29","Premium Electronics product. Smartphone 29 designed for quality and style. This item belongs to our exclusive Electronics collection.",1059,60,https://images.unsplash.com/photo-1525547710557-809291baa59d?w=400&h=400&fit=crop&q=80,Electronics
30,"Smartphone 30","Premium Electronics product. Smartphone 30 designed for quality and style. This item belongs to our exclusive Electronics collection.",3553,81,https://images.unsplash.com/photo-1588508065123-287b28e013da?w=400&h=400&fit=crop&q=80,Electronics
31,"Camera 31","Premium Electronics product. Camera 31 designed for quality and style. This item belongs to our exclusive Electronics collection.",9000,77,https://images.unsplash.com/photo-1588508065123-287b28e013da?w=400&h=400&fit=crop&q=80,Electronics
32,"Headphones 32","Premium Electronics product. Headphones 32 designed for quality and style. This item belongs to our exclusive Electronics collection.",6264,47,https://images.unsplash.com/photo-1526738549149-8e07eca2c1b4?w=400&h=400&fit=crop&q=80,Electronics
33,"Headphones 33","Premium Electronics product. Headphones 33 designed for quality and style. This item belongs to our exclusive Electronics collection.",4851,11,https://images.unsplash.com/photo-1498062363085-0431f753f0ed?w=400&h=400&fit=crop&q=80,Electronics
34,"Headphones 34","Premium Electronics product. Headphones 34 designed for quality and style. This item belongs to our exclusive Electronics collection.",8725,49,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=400&h=400&fit=crop&q=80,Electronics
35,"Laptop 35","Premium Electronics product. Laptop 35 designed for quality and style. This item belongs to our exclusive Electronics collection.",4126,88,https://images.unsplash.com/photo-1526738549149-8e07eca2c1b4?w=400&h=400&fit=crop&q=80,Electronics
36,"Camera 36","Premium Electronics product. Camera 36 designed for quality and style. This item belongs to our exclusive Electronics collection.",5664,46,https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?w=400&h=400&fit=crop&q=80,Electronics
37,"Headphones 37","Premium Electronics product. Headphones 37 designed for quality and style. This item belongs to our exclusive Electronics collection.",1323,63,https://images.unsplash.com/photo-1588508065123-287b28e013da?w=400&h=400&fit=crop&q=80,Electronics
38,"Laptop 38","Premium Electronics product. Laptop 38 designed for quality and style. This item belongs to our exclusive Electronics collection.",1669,56,https://images.unsplash.com/photo-1498062363085-0431f753f0ed?w=400&h=400&fit=crop&q=80,Electronics
39,"Smartwatch 39","Premium Electronics product. Smartwatch 39 designed for quality and style. This item belongs to our exclusive Electronics collection.",6385,99,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=400&h=400&fit=crop&q=80,Electronics
40,"Speaker 40","Premium Electronics product. Speaker 40 designed for quality and style. This item belongs to our exclusive Electronics collection.",2660,42,https://images.unsplash.com/photo-1491933314544-58b2317f6452?w=400&h=400&fit=crop&q=80,Electronics
41,"Keyboard 41","Premium Electronics product. Keyboard 41 designed for quality and style. This item belongs to our exclusive Electronics collection.",7787,83,https://images.unsplash.com/photo-1550745165-9bc0b252726f?w=400&h=400&fit=crop&q=80,Electronics
42,"Laptop 42","Premium Electronics product. Laptop 42 designed for quality and style. This item belongs to our exclusive Electronics collection.",2139,79,https://images.unsplash.com/photo-1491933314544-58b2317f6452?w=400&h=400&fit=crop&q=80,Electronics
43,"Smartwatch 43","Premium Electronics product. Smartwatch 43 designed for quality and style. This item belongs to our exclusive Electronics collection.",9461,87,https://images.unsplash.com/photo-1525547710557-809291baa59d?w=400&h=400&fit=crop&q=80,Electronics
44,"Smartwatch 44","Premium Electronics product. Smartwatch 44 designed for quality and style. This item belongs to our exclusive Electronics collection.",4757,83,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=400&h=400&fit=crop&q=80,Electronics
45,"Smartwatch 45","Premium Electronics product. Smartwatch 45 designed for quality and style. This item belongs to our exclusive Electronics collection.",1878,99,https://images.unsplash.com/photo-1550745165-9bc0b252726f?w=400&h=400&fit=crop&q=80,Electronics
46,"Monitor 46","Premium Electronics product. Monitor 46 designed for quality and style. This item belongs to our exclusive Electronics collection.",1034,20,https://images.unsplash.com/photo-1550745165-9bc0b252726f?w=400&h=400&fit=crop&q=80,Electronics
